City,Region,Country,Place combined,"""Help Nepal"", Indexed search interest (1-100)",Time (in GMT)
Sandton,Gauteng,South Africa,"Sandton, South Africa",0,4/25/15 18:38
Utica,New York,United States,"Utica, United States",1,4/25/15 18:38
Chicago,Illinois,United States,"Chicago, United States",0,4/25/15 18:39
Cumberland,Maryland,United States,"Cumberland, United States",7,4/25/15 18:39
Lilburn,Georgia,United States,"Lilburn, United States",7,4/25/15 18:39
Montreal,Quebec,Canada,"Montreal, Canada",0,4/25/15 18:39
Savannah,Georgia,United States,"Savannah, United States",1,4/25/15 18:39
Sheffield,England,United Kingdom,"Sheffield, United Kingdom",0,4/25/15 18:39
Stoke-on-Trent,England,United Kingdom,"Stoke-on-Trent, United Kingdom",1,4/25/15 18:39
Vinh Long,Vinh Long,Vietnam,"Vinh Long, Vietnam",100,4/25/15 18:39
Hoogvliet Rotterdam,South Holland,Netherlands,"Hoogvliet Rotterdam, Netherlands",6,4/25/15 18:40
Oss,North Brabant,Netherlands,"Oss, Netherlands",3,4/25/15 18:40
Bogotia,Cundinamarca,Colombia,"Bogotia, Colombia",0,4/25/15 18:40
Cambridge,Massachusetts,United States,"Cambridge, United States",0,4/25/15 18:40
Edinburgh,Scotland,United Kingdom,"Edinburgh, United Kingdom",0,4/25/15 18:40
Lucknow,Uttar Pradesh,India,"Lucknow, India",0,4/25/15 18:40
New York,New York,United States,"New York, United States",0,4/25/15 18:40
Bochum,North Rhine-Westphalia,Germany,"Bochum, Germany",1,4/25/15 18:41
Chandler,Arizona,United States,"Chandler, United States",2,4/25/15 18:41
New York,New York,United States,"New York, United States",0,4/25/15 18:41
Swindon,England,United Kingdom,"Swindon, United Kingdom",1,4/25/15 18:41
Corpus Christi,Texas,United States,"Corpus Christi, United States",1,4/25/15 18:42
Dundee,Scotland,United Kingdom,"Dundee, United Kingdom",1,4/25/15 18:42
Wunstorf,Lower Saxony,Germany,"Wunstorf, Germany",5,4/25/15 18:42
Ao Nang,Krabi,Thailand,"Ao Nang, Thailand",25,4/25/15 18:43
Baltimore,Maryland,United States,"Baltimore, United States",0,4/25/15 18:43
Bristol,England,United Kingdom,"Bristol, United Kingdom",0,4/25/15 18:43
Columbia,Maryland,United States,"Columbia, United States",2,4/25/15 18:43
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 18:43
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 18:43
Utrecht,Utrecht,Netherlands,"Utrecht, Netherlands",1,4/25/15 18:43
Ayl,Rhineland-Palatinate,Germany,"Ayl, Germany",5,4/25/15 18:44
Irving,Texas,United States,"Irving, United States",1,4/25/15 18:44
Madrid,Community of Madrid,Spain,"Madrid, Spain",0,4/25/15 18:44
Richmond,Virginia,United States,"Richmond, United States",0,4/25/15 18:44
Charlotte,North Carolina,United States,"Charlotte, United States",0,4/25/15 18:45
Downey,California,United States,"Downey, United States",3,4/25/15 18:45
Kathmandu,Central Region,Nepal,"Kathmandu, Nepal",2,4/25/15 18:45
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 18:45
Brampton,Ontario,Canada,"Brampton, Canada",1,4/25/15 18:46
Cambridge,Massachusetts,United States,"Cambridge, United States",0,4/25/15 18:46
Dhaka,Dhaka Division,Bangladesh,"Dhaka, Bangladesh",0,4/25/15 18:46
Port Elizabeth,Eastern Cape,South Africa,"Port Elizabeth, South Africa",4,4/25/15 18:46
Portland,Oregon,United States,"Portland, United States",0,4/25/15 18:46
Berkeley,California,United States,"Berkeley, United States",2,4/25/15 18:48
Christchurch,Canterbury,New Zealand,"Christchurch, New Zealand",3,4/25/15 18:48
Miami,Florida,United States,"Miami, United States",1,4/25/15 18:48
Phoenix,Arizona,United States,"Phoenix, United States",0,4/25/15 18:48
Toronto,Ontario,Canada,"Toronto, Canada",0,4/25/15 18:48
Aylmer,Ontario,Canada,"Aylmer, Canada",33,4/25/15 18:49
Boston,Massachusetts,United States,"Boston, United States",0,4/25/15 18:49
College Station,Texas,United States,"College Station, United States",2,4/25/15 18:49
Fort McMurray,Alberta,Canada,"Fort McMurray, Canada",3,4/25/15 18:49
Lake Heritage,Pennsylvania,United States,"Lake Heritage, United States",13,4/25/15 18:49
Reading,England,United Kingdom,"Reading, United Kingdom",1,4/25/15 18:49
Saint Albans,England,United Kingdom,"Saint Albans, United Kingdom",4,4/25/15 18:49
Berkeley,California,United States,"Berkeley, United States",2,4/25/15 18:50
Bhilai,Chhattisgarh,India,"Bhilai, India",10,4/25/15 18:50
Bilthoven,Utrecht,Netherlands,"Bilthoven, Netherlands",11,4/25/15 18:50
Hainesport,New Jersey,United States,"Hainesport, United States",33,4/25/15 18:50
White City,Oregon,United States,"White City, United States",13,4/25/15 18:50
Coningsby,England,United Kingdom,"Coningsby, United Kingdom",1,4/25/15 18:52
Denver,Colorado,United States,"Denver, United States",0,4/25/15 18:52
Munich,Bavaria,Germany,"Munich, Germany",0,4/25/15 18:52
Paderborn,North Rhine-Westphalia,Germany,"Paderborn, Germany",1,4/25/15 18:52
Hayes,England,United Kingdom,"Hayes, United Kingdom",1,4/25/15 18:54
Jalandhar,Punjab,India,"Jalandhar, India",3,4/25/15 18:54
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 18:54
Mataram,West Nusa Tenggara,Indonesia,"Mataram, Indonesia",14,4/25/15 18:54
Portsmouth,England,United Kingdom,"Portsmouth, United Kingdom",1,4/25/15 18:54
Bredon,England,United Kingdom,"Bredon, United Kingdom",8,4/25/15 18:56
Chicago,Illinois,United States,"Chicago, United States",0,4/25/15 18:56
Florence,Tuscany,Italy,"Florence, Italy",0,4/25/15 18:56
Les Allues,Rhone-Alpes,France,"Les Allues, France",33,4/25/15 18:56
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 18:56
Los Angeles,California,United States,"Los Angeles, United States",0,4/25/15 18:56
Sacramento,California,United States,"Sacramento, United States",0,4/25/15 18:56
Vilanova del Camí,Catalonia,Spain,"Vilanova del Camí, Spain",50,4/25/15 18:57
Austin,Texas,United States,"Austin, United States",0,4/25/15 18:57
Baltimore,Maryland,United States,"Baltimore, United States",0,4/25/15 18:57
Carlsborg,Washington,United States,"Carlsborg, United States",25,4/25/15 18:57
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 18:57
Monroe,Michigan,United States,"Monroe, United States",7,4/25/15 18:57
Gateshead,England,United Kingdom,"Gateshead, United Kingdom",2,4/25/15 18:58
Hanover,Lower Saxony,Germany,"Hanover, Germany",0,4/25/15 18:58
Harpenden,England,United Kingdom,"Harpenden, United Kingdom",2,4/25/15 18:58
Kolkata,West Bengal,India,"Kolkata, India",1,4/25/15 18:59
Menomonie,Wisconsin,United States,"Menomonie, United States",17,4/25/15 18:59
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 18:59
Pune,Maharashtra,India,"Pune, India",0,4/25/15 18:59
Torrance,California,United States,"Torrance, United States",1,4/25/15 18:59
Chicago,Illinois,United States,"Chicago, United States",0,4/25/15 19:00
Huron East,Ontario,Canada,"Huron East, Canada",20,4/25/15 19:00
Larkspur,California,United States,"Larkspur, United States",0,4/25/15 19:00
Manama,Capital Governorate,Bahrain,"Manama, Bahrain",0,4/25/15 19:00
New York,New York,United States,"New York, United States",0,4/25/15 19:00
Orinda,California,United States,"Orinda, United States",11,4/25/15 19:00
Jodhpur,Rajasthan,India,"Jodhpur, India",5,4/25/15 19:01
Mountlake Terrace,Washington,United States,"Mountlake Terrace, United States",8,4/25/15 19:01
Vancouver,British Columbia,Canada,"Vancouver, Canada",0,4/25/15 19:01
Decatur,Georgia,United States,"Decatur, United States",9,4/25/15 19:03
Fredericton,New Brunswick,Canada,"Fredericton, Canada",2,4/25/15 19:03
New York,New York,United States,"New York, United States",0,4/25/15 19:03
Seattle,Washington,United States,"Seattle, United States",0,4/25/15 19:03
Tel Aviv,Tel Aviv District,Israel,"Tel Aviv, Israel",0,4/25/15 19:03
Cisrdoba,Andalusia,Spain,"Cisrdoba, Spain",1,4/25/15 19:04
Doha,Ad Dawhah,Qatar,"Doha, Qatar",0,4/25/15 19:04
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/25/15 19:04
Helsinki,Uusimaa,Finland,"Helsinki, Finland",0,4/25/15 19:04
Otterup,DK-83,Denmark,"Otterup, Denmark",25,4/25/15 19:04
Salzburg,Salzburg,Austria,"Salzburg, Austria",1,4/25/15 19:04
San Diego,California,United States,"San Diego, United States",0,4/25/15 19:04
Secunderabad,Andhra Pradesh,India,"Secunderabad, India",2,4/25/15 19:04
Vancouver,British Columbia,Canada,"Vancouver, Canada",0,4/25/15 19:04
Dallas,Texas,United States,"Dallas, United States",0,4/25/15 19:05
Kolkata,West Bengal,India,"Kolkata, India",1,4/25/15 19:05
Lake Darby,Ohio,United States,"Lake Darby, United States",20,4/25/15 19:05
Madrid,Community of Madrid,Spain,"Madrid, Spain",0,4/25/15 19:05
Tel Aviv,Tel Aviv District,Israel,"Tel Aviv, Israel",0,4/25/15 19:05
Toronto,Ontario,Canada,"Toronto, Canada",0,4/25/15 19:05
Winkfield Row,England,United Kingdom,"Winkfield Row, United Kingdom",4,4/25/15 19:05
Nijmegen,Gelderland,Netherlands,"Nijmegen, Netherlands",1,4/25/15 19:07
Cranleigh,England,United Kingdom,"Cranleigh, United Kingdom",2,4/25/15 19:07
Dhaka,Dhaka Division,Bangladesh,"Dhaka, Bangladesh",0,4/25/15 19:07
Houston,Texas,United States,"Houston, United States",0,4/25/15 19:07
Los Angeles,California,United States,"Los Angeles, United States",0,4/25/15 19:07
Mission Viejo,California,United States,"Mission Viejo, United States",2,4/25/15 19:07
Paris,isle-de-France,France,"Paris, France",0,4/25/15 19:07
Vancouver,British Columbia,Canada,"Vancouver, Canada",0,4/25/15 19:07
Atlanta,Georgia,United States,"Atlanta, United States",0,4/25/15 19:08
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 19:08
Oak Harbor,Washington,United States,"Oak Harbor, United States",7,4/25/15 19:08
Downey,California,United States,"Downey, United States",3,4/25/15 19:09
Rockville,Maryland,United States,"Rockville, United States",17,4/25/15 19:09
San Francisco,California,United States,"San Francisco, United States",0,4/25/15 19:09
Southbridge,Massachusetts,United States,"Southbridge, United States",25,4/25/15 19:09
Ahaus,North Rhine-Westphalia,Germany,"Ahaus, Germany",4,4/25/15 19:10
Al Fahaiheel,Al Ahmadi,Kuwait,"Al Fahaiheel, Kuwait",10,4/25/15 19:10
Antibes,Provence-Alpes-Cote d'Azur,France,"Antibes, France",4,4/25/15 19:10
Dhaka,Dhaka Division,Bangladesh,"Dhaka, Bangladesh",0,4/25/15 19:10
Gold Coast,Queensland,Australia,"Gold Coast, Australia",8,4/25/15 19:10
Indore,Madhya Pradesh,India,"Indore, India",1,4/25/15 19:10
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 19:10
Blaricum,North Holland,Netherlands,"Blaricum, Netherlands",1,4/25/15 19:11
Grenoble,Rhone-Alpes,France,"Grenoble, France",0,4/25/15 19:11
San Francisco,California,United States,"San Francisco, United States",0,4/25/15 19:11
Smyrna,Georgia,United States,"Smyrna, United States",1,4/25/15 19:11
Sunnyvale,California,United States,"Sunnyvale, United States",1,4/25/15 19:11
Aurora,Colorado,United States,"Aurora, United States",1,4/25/15 19:13
Carterton,England,United Kingdom,"Carterton, United Kingdom",2,4/25/15 19:13
Croydon,England,United Kingdom,"Croydon, United Kingdom",1,4/25/15 19:13
Holt,Wales,United Kingdom,"Holt, United Kingdom",1,4/25/15 19:13
Jamshedpur,Jharkhand,India,"Jamshedpur, India",8,4/25/15 19:13
La Mirada,California,United States,"La Mirada, United States",11,4/25/15 19:13
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 19:13
Mumbai,Maharashtra,India,"Mumbai, India",0,4/25/15 19:13
Ottawa,Ontario,Canada,"Ottawa, Canada",0,4/25/15 19:13
Starnberg,Bavaria,Germany,"Starnberg, Germany",7,4/25/15 19:13
Arlington,Texas,United States,"Arlington, United States",1,4/25/15 19:14
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 19:14
Seattle,Washington,United States,"Seattle, United States",0,4/25/15 19:14
Baltimore,Maryland,United States,"Baltimore, United States",0,4/25/15 19:15
Halesowen,England,United Kingdom,"Halesowen, United Kingdom",0,4/25/15 19:15
Hambleton,England,United Kingdom,"Hambleton, United Kingdom",1,4/25/15 19:15
Highland Park,Illinois,United States,"Highland Park, United States",4,4/25/15 19:15
Lake Ridge,Virginia,United States,"Lake Ridge, United States",5,4/25/15 19:15
Laufenburg,Aargau,Switzerland,"Laufenburg, Switzerland",100,4/25/15 19:15
New York,New York,United States,"New York, United States",0,4/25/15 19:15
North Vancouver,British Columbia,Canada,"North Vancouver, Canada",2,4/25/15 19:15
Oakland,California,United States,"Oakland, United States",1,4/25/15 19:15
Beverly Hills,California,United States,"Beverly Hills, United States",5,4/25/15 19:16
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/25/15 19:16
Forli,Emilia-Romagna,Italy,"Forli, Italy",3,4/25/15 19:16
Hoofdplaat,Zeeland,Netherlands,"Hoofdplaat, Netherlands",100,4/25/15 19:16
Howrah,West Bengal,India,"Howrah, India",0,4/25/15 19:16
Los Angeles,California,United States,"Los Angeles, United States",0,4/25/15 19:16
Stuttgart,Baden-Wurttemberg,Germany,"Stuttgart, Germany",0,4/25/15 19:16
Mahwah,New Jersey,United States,"Mahwah, United States",10,4/25/15 19:17
Philadelphia,Pennsylvania,United States,"Philadelphia, United States",0,4/25/15 19:17
Bochum,North Rhine-Westphalia,Germany,"Bochum, Germany",1,4/25/15 19:18
Boston,Massachusetts,United States,"Boston, United States",0,4/25/15 19:18
Boulogne-Billancourt,isle-de-France,France,"Boulogne-Billancourt, France",2,4/25/15 19:18
Bremen,Bremen,Germany,"Bremen, Germany",0,4/25/15 19:18
Cowfold,England,United Kingdom,"Cowfold, United Kingdom",4,4/25/15 19:18
Dover,England,United Kingdom,"Dover, United Kingdom",8,4/25/15 19:18
Odense,DK-83,Denmark,"Odense, Denmark",1,4/25/15 19:18
Stuttgart,Baden-Wurttemberg,Germany,"Stuttgart, Germany",0,4/25/15 19:18
Yokohama,Kanagawa Prefecture,Japan,"Yokohama, Japan",0,4/25/15 19:18
Boston,Massachusetts,United States,"Boston, United States",0,4/25/15 19:19
Clayton-le-Woods,England,United Kingdom,"Clayton-le-Woods, United Kingdom",1,4/25/15 19:19
Harrogate,England,United Kingdom,"Harrogate, United Kingdom",3,4/25/15 19:19
North Weald Bassett,England,United Kingdom,"North Weald Bassett, United Kingdom",25,4/25/15 19:19
Atlanta,Georgia,United States,"Atlanta, United States",0,4/25/15 19:21
Chicago,Illinois,United States,"Chicago, United States",0,4/25/15 19:21
Granby,Massachusetts,United States,"Granby, United States",50,4/25/15 19:21
Milan,Lombardy,Italy,"Milan, Italy",0,4/25/15 19:21
Pokhara,Western Region,Nepal,"Pokhara, Nepal",8,4/25/15 19:21
Portland,Oregon,United States,"Portland, United States",0,4/25/15 19:21
Sioux Falls,South Dakota,United States,"Sioux Falls, United States",2,4/25/15 19:21
Skelmersdale,England,United Kingdom,"Skelmersdale, United Kingdom",11,4/25/15 19:21
Broomfield,Colorado,United States,"Broomfield, United States",0,4/25/15 19:23
Darwen,England,United Kingdom,"Darwen, United Kingdom",9,4/25/15 19:23
Frankfurt,Hesse,Germany,"Frankfurt, Germany",0,4/25/15 19:23
Los Angeles,California,United States,"Los Angeles, United States",0,4/25/15 19:23
Bremerton,Washington,United States,"Bremerton, United States",13,4/25/15 19:25
Jersey City,New Jersey,United States,"Jersey City, United States",1,4/25/15 19:25
Reading,England,United Kingdom,"Reading, United Kingdom",1,4/25/15 19:25
Bangalore,Karnataka,India,"Bangalore, India",0,4/25/15 19:26
Burnaby,British Columbia,Canada,"Burnaby, Canada",1,4/25/15 19:26
Edinburgh,Scotland,United Kingdom,"Edinburgh, United Kingdom",0,4/25/15 19:26
Nether Stowey,England,United Kingdom,"Nether Stowey, United Kingdom",3,4/25/15 19:26
New York,New York,United States,"New York, United States",0,4/25/15 19:26
Oshkosh,Wisconsin,United States,"Oshkosh, United States",4,4/25/15 19:26
Paradise,Nevada,United States,"Paradise, United States",0,4/25/15 19:26
Potter Heigham,England,United Kingdom,"Potter Heigham, United Kingdom",1,4/25/15 19:26
Rockville Centre,New York,United States,"Rockville Centre, United States",6,4/25/15 19:26
Carney,Maryland,United States,"Carney, United States",9,4/25/15 19:27
Helsinki,Uusimaa,Finland,"Helsinki, Finland",0,4/25/15 19:27
Odenton,Maryland,United States,"Odenton, United States",5,4/25/15 19:27
West Hartford,Connecticut,United States,"West Hartford, United States",3,4/25/15 19:27
Verona,Veneto,Italy,"Verona, Italy",1,4/25/15 19:28
Atlanta,Georgia,United States,"Atlanta, United States",0,4/25/15 19:28
Doha,Ad Dawhah,Qatar,"Doha, Qatar",0,4/25/15 19:28
Farmington,Utah,United States,"Farmington, United States",6,4/25/15 19:28
Kingston,Washington,United States,"Kingston, United States",100,4/25/15 19:28
Sechelt,British Columbia,Canada,"Sechelt, Canada",7,4/25/15 19:28
Al Ain,Abu Dhabi,United Arab Emirates,"Al Ain, United Arab Emirates",1,4/25/15 19:29
Basildon,England,United Kingdom,"Basildon, United Kingdom",1,4/25/15 19:29
Huntsville,Alabama,United States,"Huntsville, United States",1,4/25/15 19:29
Johor Bahru,Johor,Malaysia,"Johor Bahru, Malaysia",2,4/25/15 19:29
Keene,New Hampshire,United States,"Keene, United States",6,4/25/15 19:29
New York,New York,United States,"New York, United States",0,4/25/15 19:29
San Antonio,Texas,United States,"San Antonio, United States",0,4/25/15 19:29
Toronto,Ontario,Canada,"Toronto, Canada",0,4/25/15 19:29
Amsterdam,North Holland,Netherlands,"Amsterdam, Netherlands",0,4/25/15 19:30
Bellevue,Washington,United States,"Bellevue, United States",2,4/25/15 19:30
Hybla Valley,Virginia,United States,"Hybla Valley, United States",13,4/25/15 19:30
Panama City Beach,Florida,United States,"Panama City Beach, United States",1,4/25/15 19:30
Sileby,England,United Kingdom,"Sileby, United Kingdom",4,4/25/15 19:30
Heerlen,Limburg,Netherlands,"Heerlen, Netherlands",4,4/25/15 19:31
El Cerrito,California,United States,"El Cerrito, United States",17,4/25/15 19:31
Los Angeles,California,United States,"Los Angeles, United States",0,4/25/15 19:31
New York,New York,United States,"New York, United States",0,4/25/15 19:31
Potomac,Maryland,United States,"Potomac, United States",6,4/25/15 19:31
SeaTac,Washington,United States,"SeaTac, United States",1,4/25/15 19:31
Seattle,Washington,United States,"Seattle, United States",0,4/25/15 19:31
Sharjah,Sharjah,United Arab Emirates,"Sharjah, United Arab Emirates",0,4/25/15 19:31
Cambridge,Massachusetts,United States,"Cambridge, United States",0,4/25/15 19:32
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/25/15 19:32
